command,command_key,base_command,category,description,examples,source_line,source_page,canonical_source,source_files,status,duplicate_type,duplicate_of,quality_flags,confidence
basename,basename,basename,File Management,Nazwa pliku ze ścieżki,basename /etc/hosts,3445,56,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND,duplicate_existing,canonical+command_index,basename,,high
cat,cat,cat,File Management,Wyświetla zawartość pliku 56,cat /etc/hosts | cat,3450,56,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND | RHCSA_Command_Library.pdf,duplicate_existing,canonical+command_index,cat,,high
cat -A file.txt,cat -A file.txt,cat,File Management,Sekcja Komend,cat -A file.txt,3459,57,runtime/knowledge/source/linux_master_library_v1.pdf,RHCSA_Command_Library.pdf,duplicate_existing,canonical+command_index,cat -A file.txt,weak_description,high
cat -n file,cat -n file,cat,File Management,number lines. SAFE,cat -n file,3464,57,runtime/knowledge/source/linux_master_library_v1.pdf,komendy,candidate,,,,high
cat -n file.txt,cat -n file.txt,cat,File Management,Sekcja Komend,cat -n file.txt,3469,57,runtime/knowledge/source/linux_master_library_v1.pdf,RHCSA_Command_Library.pdf,duplicate_existing,canonical+command_index,cat -n file.txt,weak_description,high
cat /etc/anacrontab,cat /etc/anacrontab,cat,File Management,Sekcja Komend,cat /etc/anacrontab,3474,57,runtime/knowledge/source/linux_master_library_v1.pdf,RHCSA_Command_Library.pdf,duplicate_existing,canonical+command_index,cat /etc/anacrontab,weak_description,high
cat /etc/bashrc,cat /etc/bashrc,cat,File Management,Sekcja Komend,cat /etc/bashrc,3479,57,runtime/knowledge/source/linux_master_library_v1.pdf,RHCSA_Command_Library.pdf,duplicate_existing,canonical+command_index,cat /etc/bashrc,weak_description,high
cat /etc/cron.allow,cat /etc/cron.allow,cat,File Management,Sekcja Komend,cat /etc/cron.allow,3484,57,runtime/knowledge/source/linux_master_library_v1.pdf,RHCSA_Command_Library.pdf,duplicate_existing,canonical+command_index,cat /etc/cron.allow,weak_description,high
cat /etc/cron.deny,cat /etc/cron.deny,cat,File Management,Sekcja Komend,cat /etc/cron.deny,3489,57,runtime/knowledge/source/linux_master_library_v1.pdf,RHCSA_Command_Library.pdf,duplicate_existing,canonical+command_index,cat /etc/cron.deny,weak_description,high
cat /etc/crontab,cat /etc/crontab,cat,File Management,system crontab. SAFE 57,cat /etc/crontab,3494,57,runtime/knowledge/source/linux_master_library_v1.pdf,RHCSA_Command_Library.pdf | komendy,duplicate_existing,canonical+command_index,cat /etc/crontab,,high
cat /etc/exports,cat /etc/exports,cat,File Management,Sekcja Komend,cat /etc/exports,3504,58,runtime/knowledge/source/linux_master_library_v1.pdf,RHCSA_Command_Library.pdf,duplicate_existing,canonical+command_index,cat /etc/exports,weak_description,high
cat /etc/fstab,cat /etc/fstab,cat,File Management,Trwae montowanie Samba w fstab systemctl restart Zrestartuj usugi Samba,cat /etc/fstab,3509,58,runtime/knowledge/source/linux_master_library_v1.pdf,RHCSA_Command_Library.pdf,duplicate_existing,canonical+command_index,cat /etc/fstab,,high
cat /etc/os-release,cat /etc/os-release,cat,File Management,canonical OS ID. SAFE,cat /etc/os-release,3514,58,runtime/knowledge/source/linux_master_library_v1.pdf,RHCSA_Command_Library.pdf | komendy,duplicate_existing,canonical+command_index,cat /etc/os-release,,high
cat /etc/profile,cat /etc/profile,cat,File Management,Sekcja Komend,cat /etc/profile,3519,58,runtime/knowledge/source/linux_master_library_v1.pdf,RHCSA_Command_Library.pdf,duplicate_existing,canonical+command_index,cat /etc/profile,weak_description,high
cat /etc/systemd/sys,cat /etc/systemd/sys,cat,File Management,Sekcja Komend,cat /etc/systemd/sys,3524,58,runtime/knowledge/source/linux_master_library_v1.pdf,RHCSA_Command_Library.pdf,duplicate_existing,canonical+command_index,cat /etc/systemd/sys,weak_description,high
cat /proc/[pid]/oom_score # wyższy = bardziej prawdopodobne zabicie,cat /proc/[pid]/oom_score # wyższy = bardziej prawdopodobne zabicie,cat,File Management,Sprawdzenie OOM score procesu,cat /proc/[pid]/oom_score # wyższy = bardziej prawdopodobne zabicie,3529,58,runtime/knowledge/source/linux_master_library_v1.pdf,linux_engineering_book.md | linux_engineering_book.pdf,candidate,,,,high
cat /proc/[pid]/oom_score_adj # -1000 do 1000 (ręczna korekta),cat /proc/[pid]/oom_score_adj # -1000 do 1000 (ręczna korekta),cat,File Management,Sprawdzenie OOM score procesu,cat /proc/[pid]/oom_score_adj # -1000 do 1000 (ręczna korekta),3534,58,runtime/knowledge/source/linux_master_library_v1.pdf,linux_engineering_book.md | linux_engineering_book.pdf,candidate,,,,high
cat /proc/cmdline,cat /proc/cmdline,cat,File Management,Sekcja Komend 58,cat /proc/cmdline,3539,58,runtime/knowledge/source/linux_master_library_v1.pdf,RHCSA_Command_Library.pdf,duplicate_existing,canonical+command_index,cat /proc/cmdline,,high
cat /proc/cpuinfo,cat /proc/cpuinfo,cat,File Management,Sekcja Komend,cat /proc/cpuinfo,3549,59,runtime/knowledge/source/linux_master_library_v1.pdf,RHCSA_Command_Library.pdf,duplicate_existing,canonical+command_index,cat /proc/cpuinfo,weak_description,high
cat /proc/mdstat,cat /proc/mdstat,cat,File Management,Komentarz Komentarz w skrypcie function myfunc() { Definicja funkcji,cat /proc/mdstat,3554,59,runtime/knowledge/source/linux_master_library_v1.pdf,RHCSA_Command_Library.pdf,duplicate_existing,canonical+command_index,cat /proc/mdstat,,high
cat /proc/mdstat #,cat /proc/mdstat #,cat,File Management,18.1 RAID (mdadm),cat /proc/mdstat #,3559,59,runtime/knowledge/source/linux_master_library_v1.pdf,linux_engineering_book.md | linux_engineering_book.pdf,candidate,,,,high
cat /proc/meminfo,cat /proc/meminfo,cat,File Management,Informacje o pamięci,cat /proc/meminfo,3564,59,runtime/knowledge/source/linux_master_library_v1.pdf,RHCSA_Command_Library.pdf | linux_engineering_book.md | linux_engineering_book.pdf,duplicate_existing,canonical+command_index,cat /proc/meminfo,,high
cat /proc/meminfo | grep,cat /proc/meminfo | grep,cat,File Management,5.2 Strony Pamięci,cat /proc/meminfo | grep,3569,59,runtime/knowledge/source/linux_master_library_v1.pdf,linux_engineering_book.md,candidate,,,,high
cat /proc/mounts,cat /proc/mounts,cat,File Management,Sekcja Komend,cat /proc/mounts,3574,59,runtime/knowledge/source/linux_master_library_v1.pdf,RHCSA_Command_Library.pdf,duplicate_existing,canonical+command_index,cat /proc/mounts,weak_description,high
cat /proc/net/tcp,cat /proc/net/tcp,cat,File Management,Command — klawisz : Tryb komend # Szukaj sowa pod kursorem (do tyu),cat /proc/net/tcp,3579,59,runtime/knowledge/source/linux_master_library_v1.pdf,RHCSA_Command_Library.pdf,duplicate_existing,canonical+command_index,cat /proc/net/tcp,,high
cat /proc/net/udp,cat /proc/net/udp,cat,File Management,Command — klawisz : Tryb komend # Szukaj sowa pod kursorem (do tyu) 59,cat /proc/net/udp,3584,59,runtime/knowledge/source/linux_master_library_v1.pdf,RHCSA_Command_Library.pdf,duplicate_existing,canonical+command_index,cat /proc/net/udp,,high
cat /proc/sys/kernel,cat /proc/sys/kernel,cat,File Management,Sekcja Komend,cat /proc/sys/kernel,3594,60,runtime/knowledge/source/linux_master_library_v1.pdf,RHCSA_Command_Library.pdf,duplicate_existing,canonical+command_index,cat /proc/sys/kernel,weak_description,high
cat /proc/version,cat /proc/version,cat,File Management,Sekcja Komend,cat /proc/version,3599,60,runtime/knowledge/source/linux_master_library_v1.pdf,RHCSA_Command_Library.pdf,duplicate_existing,canonical+command_index,cat /proc/version,weak_description,high
cat /sys/block/sda/queue/scheduler,cat /sys/block/sda/queue/scheduler,cat,File Management,14.4 Tuning Systemowy,cat /sys/block/sda/queue/scheduler,3604,60,runtime/knowledge/source/linux_master_library_v1.pdf,linux_engineering_book.md | linux_engineering_book.pdf,candidate,,,,high
cat /sys/devices/system/cpu/cpu0/cpufreq/scaling_governor,cat /sys/devices/system/cpu/cpu0/cpufreq/scaling_governor,cat,File Management,14.4 Tuning Systemowy,cat /sys/devices/system/cpu/cpu0/cpufreq/scaling_governor,3609,60,runtime/knowledge/source/linux_master_library_v1.pdf,linux_engineering_book.md | linux_engineering_book.pdf,candidate,,,,high
cat /sys/fs/cgroup/m,cat /sys/fs/cgroup/m,cat,File Management,Komentarz Komentarz w skrypcie function myfunc() { Definicja funkcji,cat /sys/fs/cgroup/m,3614,60,runtime/knowledge/source/linux_master_library_v1.pdf,RHCSA_Command_Library.pdf,duplicate_existing,canonical+command_index,cat /sys/fs/cgroup/m,,high
cat /sys/fs/cgroup/mygroup/memory.pressure,cat /sys/fs/cgroup/mygroup/memory.pressure,cat,File Management,25.2 Cgroups v2 — Zaawansowane,cat /sys/fs/cgroup/mygroup/memory.pressure,3619,60,runtime/knowledge/source/linux_master_library_v1.pdf,linux_engineering_book.md | linux_engineering_book.pdf,candidate,,,,high
cat /sys/kernel/mm/transparent_hugepage/enabled,cat /sys/kernel/mm/transparent_hugepage/enabled,cat,File Management,Transparent Huge Pages,cat /sys/kernel/mm/transparent_hugepage/enabled,3624,60,runtime/knowledge/source/linux_master_library_v1.pdf,linux_engineering_book.md | linux_engineering_book.pdf,candidate,,,,high
cat /var/log/audit/a,cat /var/log/audit/a,cat,File Management,Sekcja Komend 60,cat /var/log/audit/a,3629,60,runtime/knowledge/source/linux_master_library_v1.pdf,RHCSA_Command_Library.pdf,duplicate_existing,canonical+command_index,cat /var/log/audit/a,,high
cat /var/log/cron,cat /var/log/cron,cat,File Management,Sekcja Komend,cat /var/log/cron,3639,61,runtime/knowledge/source/linux_master_library_v1.pdf,RHCSA_Command_Library.pdf,duplicate_existing,canonical+command_index,cat /var/log/cron,weak_description,high
cat /var/log/maillog,cat /var/log/maillog,cat,File Management,Sekcja Komend,cat /var/log/maillog,3644,61,runtime/knowledge/source/linux_master_library_v1.pdf,RHCSA_Command_Library.pdf,duplicate_existing,canonical+command_index,cat /var/log/maillog,weak_description,high
cat /var/log/secure,cat /var/log/secure,cat,File Management,Sekcja Komend,cat /var/log/secure,3649,61,runtime/knowledge/source/linux_master_library_v1.pdf,RHCSA_Command_Library.pdf,duplicate_existing,canonical+command_index,cat /var/log/secure,weak_description,high
cat /var/spool/cron/,cat /var/spool/cron/,cat,File Management,Sekcja Komend,cat /var/spool/cron/,3654,61,runtime/knowledge/source/linux_master_library_v1.pdf,RHCSA_Command_Library.pdf,duplicate_existing,canonical+command_index,cat /var/spool/cron/,weak_description,high
cat <<EOF > config.txt,cat <<EOF > config.txt,cat,File Management,10.5 Zaawansowany Bash,cat <<EOF > config.txt,3659,61,runtime/knowledge/source/linux_master_library_v1.pdf,linux_engineering_book.md | linux_engineering_book.pdf,candidate,,,,high
cat file.txt,cat file.txt,cat,File Management,Sekcja Komend,cat file.txt,3664,61,runtime/knowledge/source/linux_master_library_v1.pdf,RHCSA_Command_Library.pdf,duplicate_existing,canonical+command_index,cat file.txt,weak_description,high
cat file1 file2,cat file1 file2,cat,File Management,Sekcja Komend,cat file1 file2,3669,61,runtime/knowledge/source/linux_master_library_v1.pdf,RHCSA_Command_Library.pdf,duplicate_existing,canonical+command_index,cat file1 file2,weak_description,high
cat trace,cat trace,cat,File Management,15.2 Diagnostyka Jądra 61,cat trace,3674,61,runtime/knowledge/source/linux_master_library_v1.pdf,linux_engineering_book.md | linux_engineering_book.pdf,candidate,,,,high
cat urls.txt,cat urls.txt,cat,File Management,parallel -j 10 wget,cat urls.txt,3684,62,runtime/knowledge/source/linux_master_library_v1.pdf,linux_engineering_book.pdf,candidate,,,,high
cat urls.txt | parallel -j 10 wget,cat urls.txt | parallel -j 10 wget,cat,File Management,28.1 Bash — Zaawansowane Techniki,cat urls.txt | parallel -j 10 wget,3689,62,runtime/knowledge/source/linux_master_library_v1.pdf,linux_engineering_book.md,candidate,,,,high
cat ~/.bash_logout,cat ~/.bash_logout,cat,File Management,Sekcja Komend,cat ~/.bash_logout,3694,62,runtime/knowledge/source/linux_master_library_v1.pdf,RHCSA_Command_Library.pdf,duplicate_existing,canonical+command_index,cat ~/.bash_logout,weak_description,high
cat ~/.bash_profile,cat ~/.bash_profile,cat,File Management,Sekcja Komend,cat ~/.bash_profile,3699,62,runtime/knowledge/source/linux_master_library_v1.pdf,RHCSA_Command_Library.pdf,duplicate_existing,canonical+command_index,cat ~/.bash_profile,weak_description,high
cat ~/.bashrc,cat ~/.bashrc,cat,File Management,Sekcja Komend,cat ~/.bashrc,3704,62,runtime/knowledge/source/linux_master_library_v1.pdf,RHCSA_Command_Library.pdf,duplicate_existing,canonical+command_index,cat ~/.bashrc,weak_description,high
cd,cd,cd,File Management,safer than in automation.,cd /var/www | cd,3709,62,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND | komendy,duplicate_existing,command_index,cd,,high
"cd $(dirname ""$0"")","cd $(dirname ""$0"")",cd,File Management,without symlink check.,"cd $(dirname ""$0"")",3715,62,runtime/knowledge/source/linux_master_library_v1.pdf,komendy,candidate,,,,high
"cd $(dirname ""$0"") without symlink'","cd $(dirname ""$0"") without symlink'",cd,File Management,Dangerous Mistakes 62,"cd $(dirname ""$0"")` without symlink",3720,62,runtime/knowledge/source/linux_master_library_v1.pdf,komendy,unresolved,,,likely_contamination_or_comment,low
cd -,cd -,cd,File Management,previous directory. SAFE,cd -,3730,63,runtime/knowledge/source/linux_master_library_v1.pdf,RHCSA_Command_Library.pdf | komendy,duplicate_existing,canonical+command_index,cd -,,high
cd ../..,cd ../..,cd,File Management,Sekcja Komend,cd ../..,3735,63,runtime/knowledge/source/linux_master_library_v1.pdf,RHCSA_Command_Library.pdf,candidate,,,weak_description,medium
cd /,cd /,cd,File Management,Sekcja Komend,cd /,3740,63,runtime/knowledge/source/linux_master_library_v1.pdf,RHCSA_Command_Library.pdf,duplicate_existing,canonical+command_index,cd /,weak_description,high
cd /path/to/dir,cd /path/to/dir,cd,File Management,Sekcja Komend,cd /path/to/dir,3745,63,runtime/knowledge/source/linux_master_library_v1.pdf,RHCSA_Command_Library.pdf,duplicate_existing,canonical+command_index,cd /path/to/dir,weak_description,high
cd /sys/kernel/debug/tracing,cd /sys/kernel/debug/tracing,cd,File Management,15.2 Diagnostyka Jądra,cd /sys/kernel/debug/tracing,3750,63,runtime/knowledge/source/linux_master_library_v1.pdf,linux_engineering_book.md | linux_engineering_book.pdf,candidate,,,,high
cd linux-6.8,cd linux-6.8,cd,File Management,16.1 Pobieranie i Konfiguracja,cd linux-6.8,3755,63,runtime/knowledge/source/linux_master_library_v1.pdf,linux_engineering_book.md | linux_engineering_book.pdf,candidate,,,,high
cd ~,cd ~,cd,File Management,Sekcja Komend,cd ~,3760,63,runtime/knowledge/source/linux_master_library_v1.pdf,RHCSA_Command_Library.pdf,duplicate_existing,canonical+command_index,cd ~,weak_description,high
cksum,cksum,cksum,File Management,Suma kontrolna CRC 63,cksum file.txt,3765,63,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND,candidate,,,,high
cmp,cmp,cmp,File Management,Porównuje bajt po bajcie,cmp file1 file2,3775,64,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND,candidate,,,,high
cmp file1 file2,cmp file1 file2,cmp,File Management,byte comparison. SAFE,cmp file1 file2,3780,64,runtime/knowledge/source/linux_master_library_v1.pdf,komendy,candidate,,,,high
cp,cp,cp,File Management,Kopiuje plik,cp file1 file2,3785,64,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND,duplicate_existing,command_index,cp,,high
cp --backup src dst,cp --backup src dst,cp,File Management,Sekcja Komend,cp --backup src dst,3790,64,runtime/knowledge/source/linux_master_library_v1.pdf,RHCSA_Command_Library.pdf,duplicate_existing,canonical+command_index,cp --backup src dst,weak_description,high
cp --backup=numbered,cp --backup=numbered,cp,File Management,for critical overwrites.,cp --backup=numbered,3795,64,runtime/knowledge/source/linux_master_library_v1.pdf,komendy,candidate,,,,high
cp --backup=numbered for critical overwrites.',cp --backup=numbered for critical overwrites.',cp,File Management,Production-Safe Patterns,cp --backup=numbered` for critical overwrites.,3800,64,runtime/knowledge/source/linux_master_library_v1.pdf,komendy,candidate,,,,high
cp -a,cp -a,cp,File Management,Archiwizuje (rekurencyjnie + atrybuty),cp -a /home /backup,3805,64,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND,candidate,,,,high
cp -a / /mnt/backup,cp -a / /mnt/backup,cp,File Management,without exclusions. 64,cp -a / /mnt/backup,3810,64,runtime/knowledge/source/linux_master_library_v1.pdf,komendy,candidate,,,,high
cp -a / /mnt/backup without exclusions.',cp -a / /mnt/backup without exclusions.',cp,File Management,Dangerous Mistakes,cp -a / /mnt/backup` without exclusions.,3820,65,runtime/knowledge/source/linux_master_library_v1.pdf,komendy,candidate,,,weak_description,medium
cp -a src/ dest/,cp -a src/ dest/,cp,File Management,"archive mode (preserves xattrs, links). CAUTION (overwrites)",cp -a src/ dest/,3825,65,runtime/knowledge/source/linux_master_library_v1.pdf,komendy,candidate,,,,high
cp -a src/ dst/,cp -a src/ dst/,cp,File Management,Sekcja Komend,cp -a src/ dst/,3830,65,runtime/knowledge/source/linux_master_library_v1.pdf,RHCSA_Command_Library.pdf,duplicate_existing,canonical+command_index,cp -a src/ dst/,weak_description,high
cp -i src dst,cp -i src dst,cp,File Management,Sekcja Komend,cp -i src dst,3835,65,runtime/knowledge/source/linux_master_library_v1.pdf,RHCSA_Command_Library.pdf,duplicate_existing,canonical+command_index,cp -i src dst,weak_description,high
cp -p,cp -p,cp,File Management,Zachowuje atrybuty,cp -p file1 file2,3840,65,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND,candidate,,,,high
cp -p src dst,cp -p src dst,cp,File Management,Sekcja Komend,cp -p src dst,3845,65,runtime/knowledge/source/linux_master_library_v1.pdf,RHCSA_Command_Library.pdf,duplicate_existing,canonical+command_index,cp -p src dst,weak_description,high
cp -r,cp -r,cp,File Management,Kopiuje katalog rekurencyjnie,cp -r /etc /backup,3850,65,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND,candidate,,,,high
cp -r src/ dst/,cp -r src/ dst/,cp,File Management,Sekcja Komend 65,cp -r src/ dst/,3855,65,runtime/knowledge/source/linux_master_library_v1.pdf,RHCSA_Command_Library.pdf,duplicate_existing,canonical+command_index,cp -r src/ dst/,,high
cp -u src dst,cp -u src dst,cp,File Management,Sekcja Komend,cp -u src dst,3865,66,runtime/knowledge/source/linux_master_library_v1.pdf,RHCSA_Command_Library.pdf,duplicate_existing,canonical+command_index,cp -u src dst,weak_description,high
cp -v src dst,cp -v src dst,cp,File Management,Sekcja Komend,cp -v src dst,3870,66,runtime/knowledge/source/linux_master_library_v1.pdf,RHCSA_Command_Library.pdf,duplicate_existing,canonical+command_index,cp -v src dst,weak_description,high
cp /boot/config-$(uname -r) .config,cp /boot/config-$(uname -r) .config,cp,File Management,Kopiowanie aktualnej konfiguracji,cp /boot/config-$(uname -r) .config,3875,66,runtime/knowledge/source/linux_master_library_v1.pdf,linux_engineering_book.md | linux_engineering_book.pdf,candidate,,,,high
