case_id,title,category,difficulty,expected_labels,risk_label,review_status,status,baseline_status,canonical,canonical_status,source_verification_status,source_verification_requirement,card_deepening_status,generation_method,execution_permitted,human_review_required,do_not_execute
HAT003-CORPUS-0001,Hardcoded API key placeholder,security_static_review,beginner,hardcoded_secret_candidate;requires_human_review,SECURITY_SENSITIVE,DRAFT,DRAFT,DRAFT_BASELINE,False,NOT_CANONICAL,UNVERIFIED,NEEDS_SOURCE_VERIFICATION,NEEDS_CARD_DEEPENING,GENERATED_DRAFT_NO_DIRECT_SOURCE,False,True,True
HAT003-CORPUS-0002,Eval on user input,security_static_review,beginner,unsafe_eval;requires_human_review,SECURITY_SENSITIVE,DRAFT,DRAFT,DRAFT_BASELINE,False,NOT_CANONICAL,UNVERIFIED,NEEDS_SOURCE_VERIFICATION,NEEDS_CARD_DEEPENING,GENERATED_DRAFT_NO_DIRECT_SOURCE,False,True,True
HAT003-CORPUS-0003,Exec on text input,security_static_review,beginner,unsafe_exec;requires_human_review,SECURITY_SENSITIVE,DRAFT,DRAFT,DRAFT_BASELINE,False,NOT_CANONICAL,UNVERIFIED,NEEDS_SOURCE_VERIFICATION,NEEDS_CARD_DEEPENING,GENERATED_DRAFT_NO_DIRECT_SOURCE,False,True,True
HAT003-CORPUS-0004,Pickle loads blob,security_static_review,beginner,unsafe_deserialization;requires_human_review,SECURITY_SENSITIVE,DRAFT,DRAFT,DRAFT_BASELINE,False,NOT_CANONICAL,UNVERIFIED,NEEDS_SOURCE_VERIFICATION,NEEDS_CARD_DEEPENING,GENERATED_DRAFT_NO_DIRECT_SOURCE,False,True,True
HAT003-CORPUS-0005,YAML unsafe load,security_static_review,beginner,unsafe_yaml_load;requires_human_review,SECURITY_SENSITIVE,DRAFT,DRAFT,DRAFT_BASELINE,False,NOT_CANONICAL,UNVERIFIED,NEEDS_SOURCE_VERIFICATION,NEEDS_CARD_DEEPENING,GENERATED_DRAFT_NO_DIRECT_SOURCE,False,True,True
HAT003-CORPUS-0006,Subprocess shell true,security_static_review,beginner,shell_injection_risk;requires_human_review,SECURITY_SENSITIVE,DRAFT,DRAFT,DRAFT_BASELINE,False,NOT_CANONICAL,UNVERIFIED,NEEDS_SOURCE_VERIFICATION,NEEDS_CARD_DEEPENING,GENERATED_DRAFT_NO_DIRECT_SOURCE,False,True,True
HAT003-CORPUS-0007,Path traversal join,security_static_review,beginner,path_traversal_candidate;requires_human_review,SECURITY_SENSITIVE,DRAFT,DRAFT,DRAFT_BASELINE,False,NOT_CANONICAL,UNVERIFIED,NEEDS_SOURCE_VERIFICATION,NEEDS_CARD_DEEPENING,GENERATED_DRAFT_NO_DIRECT_SOURCE,False,True,True
HAT003-CORPUS-0008,Logging secret placeholder,security_static_review,beginner,logging_secret_risk;requires_human_review,SECURITY_SENSITIVE,DRAFT,DRAFT,DRAFT_BASELINE,False,NOT_CANONICAL,UNVERIFIED,NEEDS_SOURCE_VERIFICATION,NEEDS_CARD_DEEPENING,GENERATED_DRAFT_NO_DIRECT_SOURCE,False,True,True
HAT003-CORPUS-0009,SQL string formatting,web_static_review,beginner,sql_injection_candidate;requires_human_review,SECURITY_SENSITIVE,DRAFT,DRAFT,DRAFT_BASELINE,False,NOT_CANONICAL,UNVERIFIED,NEEDS_SOURCE_VERIFICATION,NEEDS_CARD_DEEPENING,GENERATED_DRAFT_NO_DIRECT_SOURCE,False,True,True
HAT003-CORPUS-0010,Debug mode placeholder,web_static_review,beginner,debug_mode_review;requires_human_review,SECURITY_SENSITIVE,DRAFT,DRAFT,DRAFT_BASELINE,False,NOT_CANONICAL,UNVERIFIED,NEEDS_SOURCE_VERIFICATION,NEEDS_CARD_DEEPENING,GENERATED_DRAFT_NO_DIRECT_SOURCE,False,True,True
