path,file_type,size_bytes,tracked_by_git,classification_label,authority_role,contamination_risk,duplicate_authority_risk,generated_runtime,external_model_output,rhcsa_or_linux_knowledge,recommended_action,notes
.gitignore,(none),235,yes,unknown-needs-review,unclassified repository file,low,low,False,False,False,manual review,
AOIA_CANONICAL_STRUCTURE_PLAN.md,.md,2753,yes,stale,historical planning/audit document,medium,medium,False,False,False,candidate for GT7 planning/archive review,Root-level planning document creates authority ambiguity.
AOIA_CONTAMINATION_REPORT.md,.md,3806,yes,stale,historical planning/audit document,medium,medium,False,False,False,candidate for GT7 planning/archive review,Root-level planning document creates authority ambiguity.
AOIA_DEPENDENCY_GRAPH.md,.md,2573,yes,stale,historical planning/audit document,medium,medium,False,False,False,candidate for GT7 planning/archive review,Root-level planning document creates authority ambiguity.
AOIA_ENVIRONMENT_AUDIT.md,.md,9620,yes,stale,historical planning/audit document,medium,medium,False,False,False,candidate for GT7 planning/archive review,Root-level planning document creates authority ambiguity.
AOIA_MEMORY_ONTOLOGY.md,.md,4544,yes,unknown-needs-review,root documentation needing review,low,medium,False,False,False,manual authority review,
AOIA_RUNTIME_BOUNDARY_RECOMMENDATION.md,.md,2523,yes,stale,historical planning/audit document,medium,high,False,False,False,candidate for GT7 planning/archive review,Root-level planning document creates authority ambiguity.
AOIA_RUNTIME_MAP.md,.md,4497,yes,unknown-needs-review,root documentation needing review,low,medium,False,False,False,manual authority review,
AOIA_TRANSITIONAL_COMPONENTS.md,.md,2908,yes,stale,historical planning/audit document,medium,medium,False,False,False,candidate for GT7 planning/archive review,Root-level planning document creates authority ambiguity.
AUTHORITY_SCOPE.md,.md,612,yes,canonical,canonical documentation,low,low,False,False,False,keep canonical,
CONTRADICTION_SEMANTICS.md,.md,2336,yes,unknown-needs-review,root documentation needing review,low,medium,False,False,False,manual authority review,
CURRENT_MEMORY_FLOW.md,.md,4023,yes,stale,historical planning/audit document,medium,high,False,False,False,candidate for GT7 planning/archive review,Root-level planning document creates authority ambiguity.
FILESYSTEM_ONTOLOGY_LAYOUT.md,.md,3434,yes,unknown-needs-review,root documentation needing review,low,medium,False,False,False,manual authority review,
LICENSE,(none),1074,yes,unknown-needs-review,unclassified repository file,low,low,False,False,False,manual review,
MEMORY_BOUNDARY_ANALYSIS.md,.md,3024,yes,stale,historical planning/audit document,medium,high,False,False,False,candidate for GT7 planning/archive review,Root-level planning document creates authority ambiguity.
MEMORY_LAYER_DECOMPOSITION.md,.md,3625,yes,stale,historical planning/audit document,medium,high,False,False,False,candidate for GT7 planning/archive review,Root-level planning document creates authority ambiguity.
MHLM_MHSR/case_studies/anti_hallucination_epi_app/README.md,.md,740,yes,unknown-needs-review,root documentation needing review,low,medium,False,False,False,manual authority review,
MHLM_MHSR/case_studies/anti_hallucination_epi_app/architecture/DEPENDENCY_BOUNDARY_ANALYSIS.md,.md,2230,yes,unknown-needs-review,root documentation needing review,low,medium,False,False,False,manual authority review,
MHLM_MHSR/case_studies/anti_hallucination_epi_app/architecture/MEMORY_DOMAIN_SPLIT_PLAN.md,.md,1870,yes,unknown-needs-review,root documentation needing review,low,medium,False,False,False,manual authority review,
MHLM_MHSR/case_studies/anti_hallucination_epi_app/architecture/contracts/RUNTIME_SAFETY_CONTRACTS.md,.md,2030,yes,unknown-needs-review,root documentation needing review,low,medium,False,False,False,manual authority review,
MHLM_MHSR/case_studies/anti_hallucination_epi_app/architecture/enforcement/ENFORCEMENT_LAYER_DESIGN.md,.md,2524,yes,unknown-needs-review,root documentation needing review,low,medium,False,False,False,manual authority review,
MHLM_MHSR/case_studies/anti_hallucination_epi_app/archive/AOIA_MASTER_LIBRARY/AOIA_Master_Library.pdf,.pdf,272701,yes,binary-or-rendered,binary or rendered artifact,medium,low,False,False,False,metadata only; do not ingest as source text,
MHLM_MHSR/case_studies/anti_hallucination_epi_app/archive/AOIA_MASTER_LIBRARY/MASTER_INDEX.md,.md,4228,yes,unknown-needs-review,root documentation needing review,low,medium,False,False,False,manual authority review,
MHLM_MHSR/case_studies/anti_hallucination_epi_app/contradictions/CONTRADICTION_TAXONOMY.md,.md,1889,yes,unknown-needs-review,root documentation needing review,low,medium,False,False,False,manual authority review,
MHLM_MHSR/case_studies/anti_hallucination_epi_app/governance/GOVERNANCE_MODEL.md,.md,2035,yes,unknown-needs-review,root documentation needing review,low,medium,False,False,False,manual authority review,
MHLM_MHSR/case_studies/anti_hallucination_epi_app/lineage/LINEAGE_POLICY.md,.md,1243,yes,unknown-needs-review,root documentation needing review,low,medium,False,False,False,manual authority review,
MHLM_MHSR/case_studies/anti_hallucination_epi_app/prompts/PROMPT_ARCHIVE_POLICY.md,.md,1176,yes,unknown-needs-review,root documentation needing review,low,medium,False,False,False,manual authority review,
MHLM_MHSR/case_studies/anti_hallucination_epi_app/provenance/PROVENANCE_MODEL_PREP.md,.md,1637,yes,unknown-needs-review,root documentation needing review,low,medium,False,False,False,manual authority review,
MHLM_MHSR/case_studies/anti_hallucination_epi_app/reports/raw_provider/claude/MANIFEST.md,.md,552,yes,unknown-needs-review,root documentation needing review,low,medium,False,False,False,manual authority review,
MHLM_MHSR/case_studies/anti_hallucination_epi_app/reports/raw_provider/codex/MANIFEST.md,.md,692,yes,unknown-needs-review,root documentation needing review,low,medium,False,False,False,manual authority review,
MHLM_MHSR/case_studies/anti_hallucination_epi_app/reports/raw_provider/deepseek/MANIFEST.md,.md,369,yes,unknown-needs-review,root documentation needing review,low,medium,False,False,False,manual authority review,
MHLM_MHSR/case_studies/anti_hallucination_epi_app/reports/raw_provider/gemini/MANIFEST.md,.md,379,yes,unknown-needs-review,root documentation needing review,low,medium,False,False,False,manual authority review,
MHLM_MHSR/case_studies/anti_hallucination_epi_app/reports/raw_provider/kimi/MANIFEST.md,.md,217,yes,unknown-needs-review,root documentation needing review,low,medium,False,False,False,manual authority review,
MHLM_MHSR/case_studies/anti_hallucination_epi_app/reports/raw_provider/unknown/MANIFEST.md,.md,937,yes,unknown-needs-review,root documentation needing review,low,medium,False,False,False,manual authority review,
MHLM_MHSR/case_studies/anti_hallucination_epi_app/unclassified/UNCLASSIFIED_MANIFEST.md,.md,903,yes,unknown-needs-review,root documentation needing review,low,medium,False,False,False,manual authority review,
MHLM_MHSR/case_studies/lsc_neutrino/README.md,.md,775,yes,unknown-needs-review,root documentation needing review,low,medium,False,False,False,manual authority review,
MHLM_MHSR/framework/methodology/contradiction_policy.md,.md,814,yes,unknown-needs-review,root documentation needing review,low,medium,False,False,False,manual authority review,
MHLM_MHSR/framework/methodology/evidence_policy.md,.md,1156,yes,unknown-needs-review,root documentation needing review,low,medium,False,False,False,manual authority review,
MHLM_MHSR/framework/methodology/inclusion_rules.md,.md,1371,yes,unknown-needs-review,root documentation needing review,low,medium,False,False,False,manual authority review,
MHLM_MHSR/framework/methodology/lineage_policy.md,.md,998,yes,unknown-needs-review,root documentation needing review,low,medium,False,False,False,manual authority review,
MHLM_MHSR/framework/schemas/artifact.schema.json,.json,389,yes,unknown-needs-review,unclassified repository file,low,low,False,False,False,manual review,
MHLM_MHSR/framework/schemas/case_study_manifest.schema.json,.json,279,yes,unknown-needs-review,unclassified repository file,low,low,False,False,False,manual review,
MHLM_MHSR/framework/schemas/lineage_event.schema.json,.json,410,yes,unknown-needs-review,unclassified repository file,low,low,False,False,False,manual review,
MHLM_MHSR/framework/schemas/provenance_record.schema.json,.json,440,yes,unknown-needs-review,unclassified repository file,low,low,False,False,False,manual review,
MHLM_MHSR/framework/schemas/report.schema.json,.json,373,yes,unknown-needs-review,unclassified repository file,low,low,False,False,False,manual review,
MHLM_MHSR/framework/taxonomy/case_studies.yml,.yml,518,yes,unknown-needs-review,unclassified repository file,low,low,False,False,False,manual review,
MHLM_MHSR/framework/taxonomy/legacy_aliases.yml,.yml,569,yes,unknown-needs-review,unclassified repository file,low,low,False,False,False,manual review,
MHLM_MHSR/framework/taxonomy/model_aliases.yml,.yml,711,yes,unknown-needs-review,unclassified repository file,low,low,False,False,False,manual review,
MUTABLE_STATE_ISOLATION_PLAN.md,.md,3164,yes,stale,historical planning/audit document,medium,medium,False,False,False,candidate for GT7 planning/archive review,Root-level planning document creates authority ambiguity.
ORCHESTRATION_REMNANT_AUDIT.md,.md,2825,yes,stale,historical planning/audit document,medium,medium,False,False,False,candidate for GT7 planning/archive review,Root-level planning document creates authority ambiguity.
PROVENANCE_FOUNDATION.md,.md,2349,yes,unknown-needs-review,root documentation needing review,low,medium,False,False,False,manual authority review,
README.md,.md,9460,yes,canonical,canonical documentation,low,low,False,False,False,keep canonical,
ROADMAP.md,.md,677,yes,canonical,canonical documentation,low,low,False,False,False,keep canonical,
ROUTING_AUTHORITY_ANALYSIS.md,.md,3339,yes,stale,historical planning/audit document,medium,high,False,False,False,candidate for GT7 planning/archive review,Root-level planning document creates authority ambiguity.
archive/quarantine/README.md,.md,340,yes,quarantine,quarantine policy or held artifact,low,low,False,False,False,keep quarantined,
contradictions/README.md,.md,305,yes,unknown-needs-review,supporting source-adjacent artifact,low,low,False,False,False,keep unless later scoped audit says otherwise,
docs/ADR/ADR-001-deterministic-routing.md,.md,391,yes,canonical,canonical documentation,low,low,False,False,False,keep canonical,
docs/ADR/ADR-002-three-depth-model.md,.md,341,yes,canonical,canonical documentation,low,low,False,False,False,keep canonical,
docs/ADR/ADR-003-local-first-execution.md,.md,417,yes,canonical,canonical documentation,low,low,False,False,False,keep canonical,
docs/ADR/ADR-004-no-runtime-learning.md,.md,347,yes,canonical,canonical documentation,low,low,False,False,False,keep canonical,
docs/ADR/ADR-005-fail-fast-philosophy.md,.md,399,yes,canonical,canonical documentation,low,low,False,False,False,keep canonical,
docs/ARCHITECTURE.md,.md,2180,yes,unknown-needs-review,documentation needing authority review,low,medium,False,False,False,review before GT7 move/archive decisions,
docs/CONSTRAINTS.md,.md,3294,yes,unknown-needs-review,documentation needing authority review,low,medium,False,False,False,review before GT7 move/archive decisions,
docs/FULL_PROJECT_TREE.txt,.txt,13263,yes,unknown-needs-review,documentation needing authority review,low,medium,False,False,False,review before GT7 move/archive decisions,
docs/GIT_HISTORY_CONTINUATION_PLAN.md,.md,677,yes,unknown-needs-review,documentation needing authority review,low,medium,False,False,False,review before GT7 move/archive decisions,
docs/KNOWLEDGE_PACK_RULES.md,.md,1924,yes,unknown-needs-review,documentation needing authority review,low,medium,False,False,True,review before GT7 move/archive decisions,
docs/KNOWLEDGE_PACK_SPEC.md,.md,2131,yes,unknown-needs-review,documentation needing authority review,low,medium,False,False,True,review before GT7 move/archive decisions,
docs/LINEAGE_MAP.md,.md,531,yes,unknown-needs-review,documentation needing authority review,low,medium,False,False,False,review before GT7 move/archive decisions,
