source_id,name,category,subcategory,url_or_reference,license_or_access_note,trust_level,recommended_use,hat_relevance,risk_notes
SRC-PY-OFFICIAL-001,Official Python Documentation,official,documentation,https://docs.python.org/,public documentation or public reference; verify license before copying content,primary,canonical Python behavior and docs,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-OFFICIAL-002,Python Language Reference,official,language_reference,https://docs.python.org/3/reference/,public documentation or public reference; verify license before copying content,primary,syntax and data model,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-OFFICIAL-003,Python Library Reference,official,library_reference,https://docs.python.org/3/library/,public documentation or public reference; verify license before copying content,primary,standard library behavior,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-OFFICIAL-004,Python HOWTOs,official,howto,https://docs.python.org/3/howto/,public documentation or public reference; verify license before copying content,primary,practical official guidance,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-OFFICIAL-005,Python Tutorial,official,tutorial,https://docs.python.org/3/tutorial/,public documentation or public reference; verify license before copying content,primary,beginner learning sequence,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-OFFICIAL-006,CPython Developer Guide,official,cpython_architecture,https://devguide.python.org/,public documentation or public reference; verify license before copying content,primary,CPython internals and contribution workflow,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-OFFICIAL-007,CPython Source Repository,official,cpython_source,https://github.com/python/cpython,public documentation or public reference; verify license before copying content,primary,implementation architecture reference,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-OFFICIAL-008,Python Packaging User Guide,official,packaging,https://packaging.python.org/,public documentation or public reference; verify license before copying content,primary,packaging and distribution guidance,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-OFFICIAL-009,PyPI,official,package_index,https://pypi.org/,public documentation or public reference; verify license before copying content,primary,package index metadata and release lookup,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-OFFICIAL-010,PEP 8,official,pep,https://peps.python.org/pep-0008/,public documentation or public reference; verify license before copying content,primary,style guide,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-OFFICIAL-011,PEP 20,official,pep,https://peps.python.org/pep-0020/,public documentation or public reference; verify license before copying content,primary,Zen of Python,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-OFFICIAL-012,PEP 257,official,pep,https://peps.python.org/pep-0257/,public documentation or public reference; verify license before copying content,primary,docstring conventions,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-OFFICIAL-013,PEP 484,official,pep,https://peps.python.org/pep-0484/,public documentation or public reference; verify license before copying content,primary,type hints,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-OFFICIAL-014,PEP 517,official,pep,https://peps.python.org/pep-0517/,public documentation or public reference; verify license before copying content,primary,build backend interface,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-OFFICIAL-015,PEP 518,official,pep,https://peps.python.org/pep-0518/,public documentation or public reference; verify license before copying content,primary,pyproject build requirements,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-OFFICIAL-016,PEP 621,official,pep,https://peps.python.org/pep-0621/,public documentation or public reference; verify license before copying content,primary,project metadata,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-OFFICIAL-017,PEP 634,official,pep,https://peps.python.org/pep-0634/,public documentation or public reference; verify license before copying content,primary,structural pattern matching,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-OFFICIAL-018,PEP 695,official,pep,https://peps.python.org/pep-0695/,public documentation or public reference; verify license before copying content,primary,type parameter syntax,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-COMMUNITY-019,vinta awesome-python,community,github_index,https://github.com/vinta/awesome-python,public documentation or public reference; verify license before copying content,secondary,library discovery,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-COMMUNITY-020,Awesome Python Books,community,book_index,https://github.com/Junnplus/awesome-python-books,public documentation or public reference; verify license before copying content,secondary,book discovery,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-COMMUNITY-021,TheAlgorithms Python,community,github_examples,https://github.com/TheAlgorithms/Python,public documentation or public reference; verify license before copying content,secondary,algorithm examples for review,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-COMMUNITY-022,Project Based Learning Python,community,curriculum,https://github.com/practical-tutorials/project-based-learning,public documentation or public reference; verify license before copying content,secondary,project learning references,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-COMMUNITY-023,Python Patterns,community,patterns,https://github.com/faif/python-patterns,public documentation or public reference; verify license before copying content,secondary,pattern examples,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-COMMUNITY-024,best-of-python,community,github_index,https://github.com/ml-tooling/best-of-python,public documentation or public reference; verify license before copying content,secondary,tooling discovery,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-COMMUNITY-025,best-of-ml-python,community,github_index,https://github.com/ml-tooling/best-of-ml-python,public documentation or public reference; verify license before copying content,secondary,ML tooling discovery,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-BOOK-026,Architecture Patterns with Python,book,architecture,https://www.cosmicpython.com/,public documentation or public reference; verify license before copying content,curated_secondary,service layer and unit of work,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-BOOK-027,Clean Architectures in Python,book,architecture,https://www.thedigitalcatbooks.com/pycabook-introduction/,public documentation or public reference; verify license before copying content,curated_secondary,clean architecture examples,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-COMMUNITY-028,Full Stack Python,community,web_architecture,https://www.fullstackpython.com/,public documentation or public reference; verify license before copying content,secondary,web ecosystem map,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-COMMUNITY-029,TestDriven.io Python Material,community,testing_web,https://testdriven.io/,public documentation or public reference; verify license before copying content,secondary,testing and web engineering articles,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-ARCHITECTURE-030,Domain-Driven Design in Python,architecture,ddd,local concept reference,public documentation or public reference; verify license before copying content,secondary,DDD vocabulary for Python review,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-ARCHITECTURE-031,Repository Pattern,architecture,pattern,local concept reference,public documentation or public reference; verify license before copying content,secondary,persistence boundary pattern,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-ARCHITECTURE-032,Unit of Work Pattern,architecture,pattern,local concept reference,public documentation or public reference; verify license before copying content,secondary,transaction boundary pattern,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-ARCHITECTURE-033,Service Layer Pattern,architecture,pattern,local concept reference,public documentation or public reference; verify license before copying content,secondary,application workflow boundary,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-ARCHITECTURE-034,Ports and Adapters,architecture,pattern,local concept reference,public documentation or public reference; verify license before copying content,secondary,dependency inversion boundary,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-ARCHITECTURE-035,Hexagonal Architecture,architecture,pattern,local concept reference,public documentation or public reference; verify license before copying content,secondary,external adapter isolation,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-LEARNING-036,Automate the Boring Stuff with Python,learning,book,https://automatetheboringstuff.com/,public documentation or public reference; verify license before copying content,secondary,practical beginner automation,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
