card_id,title,category,subcategory,difficulty,source_ids,summary,risk_label,aoia_tags,review_status
HAT003-PY-PYTHON-CORE-0001,Python statement and expression boundaries,python_core,syntax,beginner,SRC-PY-OFFICIAL-002;SRC-PY-OFFICIAL-009,Static review card for python statement and expression boundaries in Python engineering.,SAFE_EDUCATIONAL,hat:003;domain:python;execution:no;review:human-required;level:beginner;source:official;mV:-70.003.syntax,draft
HAT003-PY-PYTHON-CORE-0002,Object identity equality and truthiness,python_core,data_model,beginner,SRC-PY-OFFICIAL-003;SRC-PY-OFFICIAL-010,Static review card for object identity equality and truthiness in Python engineering.,SAFE_EDUCATIONAL,hat:003;domain:python;execution:no;review:human-required;level:beginner;source:official;mV:-70.003.data_model,draft
HAT003-PY-PYTHON-CORE-0003,Function arguments defaults and call semantics,python_core,functions,beginner,SRC-PY-OFFICIAL-004;SRC-PY-OFFICIAL-011,Static review card for function arguments defaults and call semantics in Python engineering.,SAFE_EDUCATIONAL,hat:003;domain:python;execution:no;review:human-required;level:beginner;source:official;mV:-70.003.functions,draft
HAT003-PY-PYTHON-CORE-0004,Class attributes versus instance attributes,python_core,classes,beginner,SRC-PY-OFFICIAL-005;SRC-PY-OFFICIAL-012,Static review card for class attributes versus instance attributes in Python engineering.,SAFE_EDUCATIONAL,hat:003;domain:python;execution:no;review:human-required;level:beginner;source:official;mV:-70.003.classes,draft
HAT003-PY-PYTHON-CORE-0005,Exception hierarchy and explicit handling,python_core,exceptions,beginner,SRC-PY-OFFICIAL-006;SRC-PY-OFFICIAL-013,Static review card for exception hierarchy and explicit handling in Python engineering.,SAFE_EDUCATIONAL,hat:003;domain:python;execution:no;review:human-required;level:beginner;source:official;mV:-70.003.exceptions,draft
HAT003-PY-PYTHON-CORE-0006,Module boundaries and import side effects,python_core,modules,intermediate,SRC-PY-OFFICIAL-007;SRC-PY-OFFICIAL-014,Static review card for module boundaries and import side effects in Python engineering.,SAFE_EDUCATIONAL,hat:003;domain:python;execution:no;review:human-required;level:intermediate;source:official;mV:-70.003.modules,draft
HAT003-PY-PYTHON-CORE-0007,Absolute and relative import review,python_core,imports,intermediate,SRC-PY-OFFICIAL-008;SRC-PY-OFFICIAL-015,Static review card for absolute and relative import review in Python engineering.,SAFE_EDUCATIONAL,hat:003;domain:python;execution:no;review:human-required;level:intermediate;source:official;mV:-70.003.imports,draft
HAT003-PY-PYTHON-CORE-0008,Iterator protocol review,python_core,iterators,intermediate,SRC-PY-OFFICIAL-009;SRC-PY-OFFICIAL-016,Static review card for iterator protocol review in Python engineering.,SAFE_EDUCATIONAL,hat:003;domain:python;execution:no;review:human-required;level:intermediate;source:official;mV:-70.003.iterators,draft
HAT003-PY-PYTHON-CORE-0009,Generator state and lazy evaluation,python_core,generators,intermediate,SRC-PY-OFFICIAL-010;SRC-PY-OFFICIAL-017,Static review card for generator state and lazy evaluation in Python engineering.,SAFE_EDUCATIONAL,hat:003;domain:python;execution:no;review:human-required;level:intermediate;source:official;mV:-70.003.generators,draft
HAT003-PY-PYTHON-CORE-0010,Decorator transparency and metadata,python_core,decorators,advanced,SRC-PY-OFFICIAL-011;SRC-PY-OFFICIAL-018,Static review card for decorator transparency and metadata in Python engineering.,SAFE_EDUCATIONAL,hat:003;domain:python;execution:no;review:human-required;level:advanced;source:official;mV:-70.003.decorators,draft
HAT003-PY-PYTHON-CORE-0011,Resource lifetime with context managers,python_core,context_managers,intermediate,SRC-PY-OFFICIAL-012;SRC-PY-COMMUNITY-019,Static review card for resource lifetime with context managers in Python engineering.,SAFE_EDUCATIONAL,hat:003;domain:python;execution:no;review:human-required;level:intermediate;source:official;mV:-70.003.context_managers,draft
HAT003-PY-PYTHON-CORE-0012,Type hints as review support,python_core,typing,intermediate,SRC-PY-OFFICIAL-013;SRC-PY-COMMUNITY-020,Static review card for type hints as review support in Python engineering.,SAFE_EDUCATIONAL,hat:003;domain:python;execution:no;review:human-required;level:intermediate;source:official;mV:-70.003.typing,draft
HAT003-PY-PYTHON-CORE-0013,Dataclass defaults and mutability,python_core,dataclasses,intermediate,SRC-PY-OFFICIAL-014;SRC-PY-COMMUNITY-021,Static review card for dataclass defaults and mutability in Python engineering.,SAFE_EDUCATIONAL,hat:003;domain:python;execution:no;review:human-required;level:intermediate;source:official;mV:-70.003.dataclasses,draft
HAT003-PY-PYTHON-CORE-0014,Pattern matching exhaustiveness review,python_core,pattern_matching,advanced,SRC-PY-OFFICIAL-015;SRC-PY-COMMUNITY-022,Static review card for pattern matching exhaustiveness review in Python engineering.,SAFE_EDUCATIONAL,hat:003;domain:python;execution:no;review:human-required;level:advanced;source:official;mV:-70.003.pattern_matching,draft
