path,module,category,size_bytes,last_modified,description
AOIA_CANONICAL_STRUCTURE_PLAN.md,AOIA_CANONICAL_STRUCTURE_PLAN.md,repository,2753,2026-05-23T10:44:26,AOIA Canonical Structure Plan
AOIA_CONTAMINATION_REPORT.md,AOIA_CONTAMINATION_REPORT.md,repository,3806,2026-05-23T10:44:25,AOIA Contamination Report
AOIA_DEPENDENCY_GRAPH.md,AOIA_DEPENDENCY_GRAPH.md,repository,2573,2026-05-23T10:44:25,AOIA Dependency Graph
AOIA_MEMORY_ONTOLOGY.md,AOIA_MEMORY_ONTOLOGY.md,memory,4544,2026-05-23T11:11:09,AOIA Memory Ontology
AOIA_RUNTIME_BOUNDARY_RECOMMENDATION.md,AOIA_RUNTIME_BOUNDARY_RECOMMENDATION.md,repository,2523,2026-05-23T10:53:19,AOIA Runtime Boundary Recommendation
AOIA_RUNTIME_MAP.md,AOIA_RUNTIME_MAP.md,repository,4497,2026-05-23T10:44:25,AOIA Runtime Map
AOIA_TRANSITIONAL_COMPONENTS.md,AOIA_TRANSITIONAL_COMPONENTS.md,repository,2908,2026-05-23T10:44:26,AOIA Transitional Components
AUTHORITY_SCOPE.md,AUTHORITY_SCOPE.md,repository,612,2026-05-23T09:36:51,AOIA Authority Scope
CONTRADICTION_SEMANTICS.md,CONTRADICTION_SEMANTICS.md,repository,2336,2026-05-23T11:11:10,Contradiction Semantics
CURRENT_MEMORY_FLOW.md,CURRENT_MEMORY_FLOW.md,memory,4023,2026-05-23T11:11:08,Current Memory Flow
FILESYSTEM_ONTOLOGY_LAYOUT.md,FILESYSTEM_ONTOLOGY_LAYOUT.md,repository,3434,2026-05-23T11:11:10,Filesystem Ontology Layout
MEMORY_BOUNDARY_ANALYSIS.md,MEMORY_BOUNDARY_ANALYSIS.md,memory,3024,2026-05-23T11:11:09,Memory Boundary Analysis
MEMORY_LAYER_DECOMPOSITION.md,MEMORY_LAYER_DECOMPOSITION.md,memory,3625,2026-05-23T10:53:18,Memory Layer Decomposition
MHLM_MHSR/case_studies/anti_hallucination_epi_app/README.md,MHLM_MHSR/case_studies,governance,740,2026-05-24T11:00:21,AOIA Anti-Hallucination Engineering Case Study
MHLM_MHSR/case_studies/anti_hallucination_epi_app/architecture/DEPENDENCY_BOUNDARY_ANALYSIS.md,MHLM_MHSR/case_studies,governance,2230,2026-05-24T11:43:01,Dependency Boundary Analysis
MHLM_MHSR/case_studies/anti_hallucination_epi_app/architecture/MEMORY_DOMAIN_SPLIT_PLAN.md,MHLM_MHSR/case_studies,memory,1870,2026-05-24T11:43:00,Memory Domain Split Plan
MHLM_MHSR/case_studies/anti_hallucination_epi_app/architecture/contracts/RUNTIME_SAFETY_CONTRACTS.md,MHLM_MHSR/case_studies,governance,2030,2026-05-24T11:43:01,Runtime Safety Contracts
MHLM_MHSR/case_studies/anti_hallucination_epi_app/architecture/enforcement/ENFORCEMENT_LAYER_DESIGN.md,MHLM_MHSR/case_studies,governance,2524,2026-05-24T11:43:00,Enforcement Layer Design
MHLM_MHSR/case_studies/anti_hallucination_epi_app/archive/AOIA_MASTER_LIBRARY/AOIA_Master_Library.pdf,MHLM_MHSR/case_studies,governance,272701,2026-05-24T11:00:50,Governance artifact.
MHLM_MHSR/case_studies/anti_hallucination_epi_app/archive/AOIA_MASTER_LIBRARY/MASTER_INDEX.md,MHLM_MHSR/case_studies,governance,4228,2026-05-24T11:02:33,AOIA Master Library Index
MHLM_MHSR/case_studies/anti_hallucination_epi_app/contradictions/CONTRADICTION_TAXONOMY.md,MHLM_MHSR/case_studies,governance,1889,2026-05-24T11:43:02,Contradiction Taxonomy
MHLM_MHSR/case_studies/anti_hallucination_epi_app/governance/GOVERNANCE_MODEL.md,MHLM_MHSR/case_studies,governance,2035,2026-05-24T11:42:59,AOIA Governance Model
MHLM_MHSR/case_studies/anti_hallucination_epi_app/lineage/LINEAGE_POLICY.md,MHLM_MHSR/case_studies,governance,1243,2026-05-24T11:02:39,AOIA Forensic Lineage Policy
MHLM_MHSR/case_studies/anti_hallucination_epi_app/prompts/PROMPT_ARCHIVE_POLICY.md,MHLM_MHSR/case_studies,governance,1176,2026-05-24T11:02:38,Prompt Archive Policy
MHLM_MHSR/case_studies/anti_hallucination_epi_app/provenance/PROVENANCE_MODEL_PREP.md,MHLM_MHSR/case_studies,provenance,1637,2026-05-24T11:43:02,Provenance Model Preparation
MHLM_MHSR/case_studies/anti_hallucination_epi_app/reports/raw_provider/claude/MANIFEST.md,MHLM_MHSR/case_studies,governance,552,2026-05-24T11:02:34,Claude Provider Manifest
MHLM_MHSR/case_studies/anti_hallucination_epi_app/reports/raw_provider/codex/MANIFEST.md,MHLM_MHSR/case_studies,governance,692,2026-05-24T11:02:34,Codex Provider Manifest
MHLM_MHSR/case_studies/anti_hallucination_epi_app/reports/raw_provider/deepseek/MANIFEST.md,MHLM_MHSR/case_studies,governance,369,2026-05-24T11:02:36,DeepSeek Provider Manifest
MHLM_MHSR/case_studies/anti_hallucination_epi_app/reports/raw_provider/gemini/MANIFEST.md,MHLM_MHSR/case_studies,governance,379,2026-05-24T11:02:35,Gemini Provider Manifest
MHLM_MHSR/case_studies/anti_hallucination_epi_app/reports/raw_provider/kimi/MANIFEST.md,MHLM_MHSR/case_studies,governance,217,2026-05-24T11:02:36,Kimi Provider Manifest
MHLM_MHSR/case_studies/anti_hallucination_epi_app/reports/raw_provider/unknown/MANIFEST.md,MHLM_MHSR/case_studies,governance,937,2026-05-24T11:02:37,Unknown Provider Manifest
MHLM_MHSR/case_studies/anti_hallucination_epi_app/unclassified/UNCLASSIFIED_MANIFEST.md,MHLM_MHSR/case_studies,governance,903,2026-05-24T11:02:38,Unclassified Manifest
MHLM_MHSR/case_studies/lsc_neutrino/README.md,MHLM_MHSR/case_studies,governance,775,2026-05-24T11:00:21,LSC Neutrino Scientific Anomaly Case Study
MHLM_MHSR/framework/methodology/contradiction_policy.md,MHLM_MHSR/framework,governance,814,2026-05-24T11:00:24,Contradiction Policy
MHLM_MHSR/framework/methodology/evidence_policy.md,MHLM_MHSR/framework,governance,1156,2026-05-24T08:55:56,Evidence Policy
MHLM_MHSR/framework/methodology/inclusion_rules.md,MHLM_MHSR/framework,governance,1371,2026-05-24T11:00:25,Inclusion Rules
MHLM_MHSR/framework/methodology/lineage_policy.md,MHLM_MHSR/framework,governance,998,2026-05-24T11:00:23,Lineage Policy
MHLM_MHSR/framework/schemas/artifact.schema.json,MHLM_MHSR/framework,governance,389,2026-05-24T08:55:58,Governance artifact.
MHLM_MHSR/framework/schemas/case_study_manifest.schema.json,MHLM_MHSR/framework,governance,279,2026-05-24T08:56:00,Governance artifact.
MHLM_MHSR/framework/schemas/lineage_event.schema.json,MHLM_MHSR/framework,governance,410,2026-05-24T08:55:58,Governance artifact.
MHLM_MHSR/framework/schemas/provenance_record.schema.json,MHLM_MHSR/framework,provenance,440,2026-05-24T08:55:59,Provenance artifact.
MHLM_MHSR/framework/schemas/report.schema.json,MHLM_MHSR/framework,governance,373,2026-05-24T08:55:59,Governance artifact.
MHLM_MHSR/framework/taxonomy/case_studies.yml,MHLM_MHSR/framework,configuration,518,2026-05-24T11:00:22,Configuration artifact.
MHLM_MHSR/framework/taxonomy/legacy_aliases.yml,MHLM_MHSR/framework,configuration,569,2026-05-24T11:00:23,Configuration artifact.
MHLM_MHSR/framework/taxonomy/model_aliases.yml,MHLM_MHSR/framework,configuration,711,2026-05-24T11:00:22,Configuration artifact.
MUTABLE_STATE_ISOLATION_PLAN.md,MUTABLE_STATE_ISOLATION_PLAN.md,repository,3164,2026-05-23T10:53:18,Mutable State Isolation Plan
ORCHESTRATION_REMNANT_AUDIT.md,ORCHESTRATION_REMNANT_AUDIT.md,repository,2825,2026-05-23T10:53:19,Orchestration Remnant Audit
PROVENANCE_FOUNDATION.md,PROVENANCE_FOUNDATION.md,provenance,2349,2026-05-23T11:11:11,Provenance Foundation
README.md,README.md,repository,8453,2026-05-22T01:09:56,flAmeBorbLLC AIOA LiGaLu
ROADMAP.md,ROADMAP.md,repository,677,2026-05-23T09:27:43,AOIA Core Roadmap
ROUTING_AUTHORITY_ANALYSIS.md,ROUTING_AUTHORITY_ANALYSIS.md,repository,3339,2026-05-23T10:53:17,Routing Authority Analysis
archive/quarantine/README.md,archive/quarantine,repository,340,2026-05-23T10:14:15,AOIA Quarantine
contradictions/README.md,contradictions/README.md,repository,305,2026-05-23T10:44:28,Contradictions
docs/ADR/ADR-001-deterministic-routing.md,docs/ADR,docs,391,2026-05-21T19:51:46,ADR-001: Deterministic Routing
docs/ADR/ADR-002-three-depth-model.md,docs/ADR,docs,341,2026-05-21T19:51:47,ADR-002: Three Depth Model
docs/ADR/ADR-003-local-first-execution.md,docs/ADR,docs,417,2026-05-21T19:51:47,ADR-003: Local-First Execution
docs/ADR/ADR-004-no-runtime-learning.md,docs/ADR,docs,347,2026-05-21T19:51:48,ADR-004: No Runtime Learning
docs/ADR/ADR-005-fail-fast-philosophy.md,docs/ADR,docs,399,2026-05-21T19:51:48,ADR-005: Fail-Fast Philosophy
docs/ARCHITECTURE.md,docs/ARCHITECTURE.md,docs,2180,2026-05-21T17:10:55,Architecture
docs/CONSTRAINTS.md,docs/CONSTRAINTS.md,docs,3294,2026-05-21T19:51:45,AOIA Constraints
docs/FULL_PROJECT_TREE.txt,docs/FULL_PROJECT_TREE.txt,docs,13263,2026-05-24T08:06:00,Docs artifact.
