artifact_id,filename,artifact_type,date,models_included,phase,related_commit,current_relevance,repo_storage_status,external_location,notes
audit_2026_06_06_full_snapshot_gizzmo_raport_1,"gizzmo raport 1.pdf",full_repo_snapshot,2026-06-06,n/a,GT-RUNTIME-13 local snapshot,2d09a7b,current,external_only_recommended,"Desktop/AUDYTY or Desktop root","Large generated full-app PDF snapshot; do not commit PDF payload."
audit_2026_06_06_hat003_consensus,AOIA_Hat003_Multi_Model_Audit_Consensus_06_JUNE_2026.pdf,multi_model_consensus,2026-06-06,multi-model,Hat 003 review,2d09a7b,current,external_only_recommended,Desktop/AUDYTY,"Consensus report for Hat 003 Python Safety direction."
audit_2026_06_05_appcare_pre_gt11,AOIA_AppCare_Pre_GT_RUNTIME_11_Multi_Model_Audit_05_JUNE_2026.pdf,multi_model_consensus,2026-06-05,multi-model,Pre GT-RUNTIME-11,42c3239,current,external_only_recommended,Desktop/AUDYTY,"AppCare-oriented multi-model review before later runtime work."
audit_2026_06_02_master_snapshot,AOIA_Core_MASTER_SNAPSHOT_02_JUNE_2026.pdf,historical_snapshot,2026-06-02,n/a,Historical baseline,unknown,historical,external_only_recommended,Desktop/AUDYTY,"Older full project snapshot; compare only against its captured state."
audit_2026_06_02_perplexity,Perplexity_AOIA_Core_Audit_02_June_2026.pdf,single_model_audit,2026-06-02,Perplexity,External review,unknown,historical,external_only_recommended,Desktop/AUDYTY,"Single-model advisory audit."
audit_2026_06_05_import_layout_series,AOIA_Import_Layout_Repair_Audit_Series_v1_0_05_June_2026.pdf,ci_packaging_audit,2026-06-05,audit series,Reviewer packaging and import layout,42c3239,current,external_only_recommended,Desktop/AUDYTY,"Packaging/import-layout audit series; evidence must be checked against commits and CI."
audit_2026_06_02_sonnet,Sonnet_AOIA_Core_Final_External_Review_02_June_2026.pdf,single_model_audit,2026-06-02,Claude Sonnet,External review,unknown,historical,external_only_recommended,Desktop/AUDYTY,"Single-model advisory audit."
audit_2026_06_05_maht_methodology,AOIA_MAHT_v2_0_Methodology_Report.pdf,methodology_report,2026-06-05,methodology,n/a,unknown,current,external_only_recommended,Desktop/AUDYTY,"Methodology report; not direct project evidence."
audit_2026_06_02_meta_ai,Meta_AI_02_June_2026_AOIA_Core_Audit.pdf,single_model_audit,2026-06-02,Meta AI,External review,unknown,historical,external_only_recommended,Desktop/AUDYTY,"Single-model advisory audit."
audit_2026_06_02_gemini_gt8_transition,Gemini_AOIA_Core_GT_RUNTIME_8_Transition_Audit_02_June_2026.pdf,single_model_audit,2026-06-02,Gemini,GT-RUNTIME-8 transition review,unknown,historical,external_only_recommended,Desktop/AUDYTY,"Single-model advisory audit for a transition point."
audit_2026_06_05_consensus_pdf,AOIA_Audit_Consensus_Report_05_June_2026.pdf,multi_model_consensus,2026-06-05,multi-model,External consensus,42c3239,current,external_only_recommended,Desktop/AUDYTY,"Consensus report; stronger than single-model output but still advisory."
audit_2026_06_05_consensus_zip,AOIA_Audit_Consensus_Report_05_June_2026.zip,nested_archive,2026-06-05,multi-model,External consensus archive,42c3239,current,external_only_recommended,Desktop/AUDYTY,"ZIP archive should be external and checksum-referenced."
